element,Atomic_number,Atomic_weight,Miedema_volume,Density,Group,Metal,Nonmetal,Mendeleev_number,Pcs,Electron_affinity,Atomic_radius,Ionic_radius,Teatum_metalic_radii,Van_der_waals_radii,Zunger_radii_sum,Metallic_valence,L_quantum_number,Number_of_valence_electrons,Gilmor_number_of_valence_electron,Valence_s,Valence_p,Valence_d,Valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,Outer_shell_electrons,Melting_point,Boiling_point,Fusion_enth,Vap_enth,Specific_heat_capacity,Thermal_conductivity,1st_ionization_potential,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity,Mulliken_electonegativity,Allred_Rockow_electronegativity,Miedema_electronegativity,Miedema_electron_density
H,1,1.00794,1.7,0.0702,1,0,1,92,5,0.75,0.037,0,0.779,1.2,1.25,0,0,1,1,1,0,0,0,1,6,10,14,1,-259,-252,0.12,0.9,14300,0.1805,1312,2.2,2.1,7.1784,7.18,2.3,5.2,3.38
He,2,4.002602,,0.1474,18,0,1,98,0,,,,,1.43,0,0,0,0,0,0,0,0,0,2,6,10,14,0,-270,-269,,,5190,0.1513,2372,0,0,12.0486,0,4.16,,
Li,3,6.941,13,0.53,1,1,0,1,0.45,0.62,0.152,0.076,1.562,2.12,1.61,1,0,1,1,1,0,0,0,1,6,10,14,1,180,1330,3,134.7,3390,84.8,520,0.98,0.9,3.2223,3.01,0.912,2.85,0.94
Be,4,9.01218,4.9,1.85,2,1,0,67,1.5,0,0.111,0.045,1.128,1.98,1.08,2,0,2,2,2,0,0,0,0,6,10,14,2,1280,2477,7.9,308.8,1820,200,899,1.57,1.45,3.7942,4.9,1.576,5.05,4.66
B,5,10.811,4.7,2.34,13,0,0,72,2,0.28,0.08,0,0.92,1.91,0.795,3,1,3,3,2,1,0,0,0,5,10,14,3,2300,3930,50.2,480,1030,27.4,801,2.04,1.9,4.5951,4.29,2.051,5.3,5.36
C,6,12.011,3.26,2.25,14,0,1,77,2.5,1.26,0.077,0.016,0.876,1.77,0.64,4,1,4,4,2,2,0,0,0,4,10,14,4,3730,4830,117,711,711,140,1086,2.55,2.37,5.6246,6.27,2.544,6.24,5.55
N,7,14.00674,4.1,0.80877,15,0,1,82,3,0,0.074,0.016,0.825,1.66,0.54,3,1,5,5,2,3,0,0,0,3,10,14,5,-210,-196,0.71,5.57,1040,0.02583,1402,3.04,2.85,6.8834,7.3,3.066,6.86,4.49
O,8,15.9994,,1.159,16,0,1,87,3.5,,,,0.897,1.5,0.465,0,1,6,6,2,4,0,0,0,2,10,14,6,-218,-183,,,916,0.02658,1314,3.44,3.32,8.3703,7.54,3.61,,
F,9,18.998403,,1.1185,17,0,1,93,4,,,,,1.46,0.405,0,1,7,7,2,5,0,0,0,1,10,14,7,-220,-188,,,824,0.0277,1681,3.98,3.78,10.0854,10.41,4.193,,
Ne,10,20.1797,,1.2027,18,0,1,99,0.04,,,,,1.58,0,0,1,0,0,0,0,0,0,2,6,10,14,0,-249,-246,,,1030,0.0491,2081,0,0,12.0317,0,4.789,,
Na,11,22.989768,23.78,0.97,1,1,0,2,0.4,0.55,0.186,0.102,1.911,2.5,2.65,1,0,1,1,1,0,0,0,1,6,10,14,1,97.8,890,2.6,98.01,1230,142,496,0.93,0.89,2.5378,2.85,0.869,2.7,0.55
Mg,12,24.305,14,1.74,2,1,0,68,1.28,0,0.16,0.072,1.602,2.51,2.03,2,0,2,2,2,0,0,0,0,6,10,14,2,650,1110,8.48,128.7,1030,156,738,1.31,1.31,2.9745,3.75,1.293,3.45,1.6
Al,13,26.981539,10,2.7,13,1,0,73,1.66,0.44,0.143,0.054,1.432,2.25,1.675,3,1,3,3,2,1,0,0,0,5,10,14,3,660,2470,10.71,294,900,237,578,1.61,1.64,3.5237,3.23,1.613,4.2,2.7
Si,14,28.0855,8.6,2.33,14,0,1,78,1.94,1.39,0.118,0.04,1.322,2.19,1.42,4,1,4,4,2,2,0,0,0,4,10,14,4,1410,2360,50.21,383,711,149,786,1.9,1.98,4.1852,4.77,1.916,4.7,3.38
P,15,30.973762,8.6,1.82,15,0,1,83,2.18,0.75,0.11,0.017,1.241,1.9,1.24,3,1,5,5,2,3,0,0,0,3,10,14,5,44.2,280,0.66,12.4,757,0.23617,1012,2.19,2.32,4.9591,5.62,2.253,5.55,4.49
S,16,32.066,,2.07,16,0,1,88,2.44,,,,1.25,1.89,1.1,2,1,6,6,2,4,0,0,0,2,10,14,6,113,445,,,732,0.205,1000,2.58,2.65,5.8458,6.22,2.589,,
Cl,17,35.4527,,1.56238,17,0,1,94,2.7,,,,,1.82,1.01,0,1,7,7,2,5,0,0,0,1,10,14,7,-101,-34.7,,,477,0.0089,1251,3.16,2.98,6.8446,8.3,2.869,,
Ar,18,39.948,,1.4087,18,0,1,100,,,,,,1.83,0,0,1,0,0,0,0,0,0,2,6,10,14,0,-189,-186,,,519,0.01772,1521,0,0,7.9552,0,3.242,,
K,19,39.0983,45.63,0.86,1,1,0,3,0.35,0.5,0.227,0.151,2.376,2.73,3.69,1,0,1,1,1,0,0,0,1,6,10,14,1,63.7,774,2.33,77.5,753,102.5,419,0.82,0.8,2.7882,2.42,0.734,2.25,0.27
Ca,20,40.078,26.2,1.54,2,1,0,7,0.6,0.04,0.197,0.1,1.974,2.62,3,2,0,2,2,2,0,0,0,0,6,10,14,2,850,1487,8.54,150,653,201,590,1,1.17,3.0128,2.2,1.034,2.55,0.75
Sc,21,44.95591,15.03,2.99,3,1,0,11,0.67,0.19,0.161,0.075,1.641,2.58,2.75,3,2,3,1,2,0,1,0,0,6,9,14,2,1540,2730,14.1,305,556,15.8,631,1.36,1.5,3.0728,3.34,1.19,3.25,2.05
Ti,22,47.88,10.58,4.54,4,1,0,43,0.79,0.08,0.145,0.061,1.462,2.46,2.58,4,2,4,2,2,0,2,0,0,6,8,14,2,1675,3260,14.15,429,523,21.9,658,1.54,1.86,3.1359,3.45,1.38,3.8,3.51
V,23,50.9415,8.36,5.96,5,1,0,46,0.84,0.53,0.131,0.054,1.346,2.42,2.43,5,2,5,3,2,0,3,0,0,6,7,14,2,1900,3000,21.5,458.6,481,30.7,650,1.63,2.22,3.2021,3.6,1.53,4.25,4.41
Cr,24,51.9961,7.23,7.19,6,1,0,49,0.89,0.67,0.125,0.062,1.282,2.45,2.44,5.78,2,6,4,1,0,5,0,1,6,5,14,1,1890,2482,21,348.8,448,93.9,653,1.66,2,3.2713,3.72,1.65,4.65,5.18
Mn,25,54.93805,7.35,7.2,7,1,0,52,0.945,0,0.137,0.067,1.254,2.45,2.22,5.78,2,7,5,2,0,5,0,0,6,5,14,2,1240,2100,12.91,219.7,477,7.81,717,1.55,2.04,3.3437,3.72,1.75,4.45,4.17
Fe,26,55.847,7.09,7.86,8,1,0,55,0.99,0.15,0.124,0.055,1.274,2.44,2.11,5.78,2,8,5,2,0,6,0,0,6,4,14,2,1535,3000,13.91,351,448,80.4,759,1.83,1.67,3.419,4.06,1.8,4.93,5.55
Co,27,58.9332,6.7,8.9,9,1,0,58,1.04,0.66,0.125,0.065,1.252,2.4,2.02,5.78,2,9,4,2,0,7,0,0,6,3,14,2,1492,2900,16.2,382.4,435,100,758,1.88,1.72,3.4976,4.3,1.84,5.1,5.36
Ni,28,58.6934,6.6,8.9,10,1,0,61,1.09,1.16,0.125,0.069,1.246,2.4,2.18,5.78,2,10,3,2,0,8,0,0,6,2,14,2,1453,2730,17.48,371.8,439,90.9,737,1.91,1.76,3.5791,4.4,1.88,5.2,5.36
Cu,29,63.546,7.12,8.92,11,1,0,64,1.2,1.24,0.128,0.073,1.278,2.38,2.04,5.44,2,11,2,1,0,10,0,1,6,0,14,1,1083,2595,13.26,304.6,385,401,745,1.9,1.08,3.6637,4.48,1.85,4.45,3.18
Zn,30,65.39,9.17,7.14,12,1,0,69,1.44,0,0.133,0.074,1.394,2.39,1.88,4.44,2,12,1,2,0,10,0,0,6,0,14,2,420,907,7.32,115.5,385,116,906,1.65,1.44,3.7515,4.45,1.59,4.1,2.3
Ga,31,69.723,11.82,5.91,13,1,0,74,1.68,0.3,0.122,0.062,1.353,2.32,1.695,3.44,1,3,3,2,1,0,0,0,5,10,14,3,29.8,2400,5.59,254,381,29,579,1.81,1.7,4.1672,3.2,1.756,4.1,2.25
Ge,32,72.61,9.87,5.35,14,0,0,79,1.9,1.23,0.123,0.053,1.378,2.29,1.56,4,1,4,4,2,2,0,0,0,4,10,14,4,937,2830,36.94,334,322,60.2,762,2.01,1.99,4.6406,4.6,1.994,4.55,2.57
As,33,74.92159,11.85,5.72,15,0,0,84,2.16,0.81,0.125,0.058,1.366,1.88,1.415,3,1,5,5,2,3,0,0,0,3,10,14,5,613,613,24.44,31.9,326,50.2,947,2.18,2.27,5.172,5.3,2.211,4.8,3
Se,34,78.96,,4.81,16,0,1,89,2.4,,,,1.412,1.82,1.285,2,1,6,6,2,4,0,0,0,2,10,14,6,217,685,,,322,0.519,941,2.55,2.54,5.761,5.89,2.434,,
Br,35,79.904,,3.12,17,0,1,95,2.64,,,,,1.86,1.2,0,1,7,7,2,5,0,0,0,1,10,14,7,-7.2,58.8,,,448,0.122,1140,2.96,2.83,6.4079,7.59,2.685,,
Kr,36,83.8,,2.16121,18,0,1,101,0.12,,,,,2.25,0,0,1,0,0,0,0,0,0,2,6,10,14,0,-157,-152,,,247,9.43,1351,3,,7.1127,,2.966,,
Rb,37,85.4678,56.07,1.53,1,1,0,4,0.3,0.49,0.248,0.161,2.546,3.21,4.1,1,0,1,1,1,0,0,0,1,6,10,14,1,38.9,688,2.19,69.2,360,58.2,403,0.82,0.8,3.1886,2.34,0.706,2.1,0.22
Sr,38,87.62,33.93,2.62,2,1,0,8,0.55,0.11,0.215,0.126,2.151,2.84,3.21,2,0,2,2,2,0,0,0,0,6,10,14,2,768,1380,7.43,139,284,35.4,549,0.95,1.13,3.3588,2,0.963,2.4,0.59
Y,39,88.90585,19.9,4.34,3,1,0,12,0.66,0.31,0.178,0.102,1.773,2.75,2.94,3,2,3,1,2,0,1,0,0,6,9,14,2,1500,2930,11.4,393,297,17.2,616,1.22,1.41,3.4043,3.19,1.12,3.2,1.77
Zr,40,91.224,14,6.49,4,1,0,44,0.76,0.43,0.159,0.084,1.602,2.52,2.825,4,2,4,2,2,0,2,0,0,6,8,14,2,1850,3580,21,581.6,276,22.6,660,1.33,1.7,3.4521,3.64,1.32,3.45,2.8
Nb,41,92.90638,10.8,8.57,5,1,0,47,0.82,0.9,0.143,0.064,1.468,2.56,2.76,5,2,5,3,1,0,4,0,1,6,6,14,1,2470,3300,30,696.6,264,53.7,664,1.6,2.03,3.5023,4,1.41,4.05,4.41
Mo,42,95.94,9.4,10.2,6,1,0,50,0.88,0.75,0.136,0.059,1.4,2.45,2.72,5.78,2,6,4,1,0,5,0,1,6,5,14,1,2610,5560,37.48,594.1,251,138,685,2.16,1.94,3.5548,3.9,1.47,4.65,5.55
Tc,43,97.9072,8.64,11.5,7,1,0,53,0.935,0.55,0.135,0,1.365,2.44,2.65,5.78,2,7,5,2,0,5,0,0,6,5,14,2,2200,3500,33.29,585,243,50.6,702,1.9,2.18,3.6096,4,1.51,5.3,5.93
Ru,44,101.07,8.2,12.3,8,1,0,56,1,1.05,0.133,0.068,1.339,2.46,2.605,5.78,2,8,5,1,0,7,0,1,6,3,14,1,2500,4900,38.59,567.8,238,117,711,2.2,1.97,3.6668,4.5,1.54,5.4,6.13
Rh,45,102.9055,8.3,12.4,9,1,0,59,1.06,1.14,0.135,0.067,1.345,2.44,2.52,5.78,2,9,4,1,0,8,0,1,6,2,14,1,1970,4500,26.59,495.4,243,150,720,2.28,1.99,3.7262,4.3,1.56,5.4,5.45
Pd,46,106.42,8.9,12,10,1,0,62,1.12,0.56,0.138,0.064,1.376,2.15,2.45,5.78,2,10,3,0,0,10,0,2,6,0,14,0,1550,3980,16.74,393,243,71.8,805,2.2,2.08,3.788,4.45,1.59,5.45,4.66
Ag,47,107.8682,10.25,10.5,11,1,0,65,1.18,1.3,0.145,0.115,1.445,2.53,2.375,5.44,0,11,2,1,0,10,0,1,6,0,14,1,961,2210,11.3,255.1,234,429,731,1.93,1.07,3.8522,4.44,1.87,4.35,2.52
Cd,48,112.411,13,8.64,12,1,0,70,1.36,0,0.149,0.095,1.568,2.49,2.215,4.44,0,12,1,2,0,10,0,0,6,0,14,2,321,765,6.19,99.87,230,96.6,868,1.69,1.4,3.9187,4.33,1.52,4.05,1.91
In,49,114.818,15.75,7.3,13,1,0,75,1.6,0.3,0.163,0.08,1.666,2.43,2.05,3.44,1,3,3,2,1,10,0,0,5,0,14,2,157,2000,3.28,226.4,238,81.8,558,1.78,1.63,4.2337,3.1,1.656,3.9,1.6
Sn,50,118.71,16.3,7.28,14,1,0,80,1.84,1.11,0.141,0.045,1.58,2.42,1.88,4,1,4,4,2,2,10,0,0,4,0,14,2,232,2270,7.03,290.4,218,66.8,709,1.96,1.88,4.5926,4.3,1.824,4.15,1.9
Sb,51,121.76,16.95,6.62,15,0,1,85,2.08,1.07,0.145,0.076,1.571,2.47,1.765,3,1,5,5,2,3,10,0,0,3,0,14,2,630,1380,19.87,67.9,209,24.4,834,2.05,2.14,4.9953,4.85,1.984,4.4,2
Te,52,127.6,,6.25,16,0,1,90,2.32,,,,1.642,1.99,1.67,2,1,6,6,2,4,10,0,0,2,0,14,2,450,990,,,201,3,869,2.1,2.38,5.4418,5.49,2.158,,
I,53,126.90447,,4.93,17,0,1,96,2.56,,,,,2.04,1.585,0,1,7,7,2,5,10,0,0,1,0,14,7,114,184,,,218,0.449,1008,2.66,2.76,5.9319,6.76,2.359,,
Xe,54,131.29,,3.52165,18,0,1,102,0.16,,,,,2.06,0,0,1,0,0,0,0,0,0,2,6,10,14,0,-112,-108,,,159,0.00565,1170,2.6,0,6.4662,,2.582,,
Cs,55,132.90543,69.23,1.9,1,1,0,5,0.25,0.47,0.265,0.174,2.731,3.48,4.31,1,0,1,1,1,0,0,0,1,6,10,14,1,28.7,690,2.09,65.9,234,35.9,376,0.79,0.77,4.4326,2.18,0.659,1.95,0.17
Ba,56,137.327,38.1,3.51,2,1,0,9,0.5,0.15,0.217,0.142,2.236,3.03,3.402,2,0,2,2,2,0,0,0,0,6,10,14,2,714,1640,7.12,140,192,18.4,503,0.89,1.08,4.4699,2.4,0.881,2.32,0.53
La,57,138.9055,22.55,6.19,3,1,0,13,0.705,0.5,0.187,0.116,1.877,2.98,3.08,3,2,3,1,2,0,1,0,0,6,9,14,2,920,3470,6.2,399.6,201,13.4,538,1.1,1.35,4.5168,3.1,1.09,3.17,1.64
Ce,58,140.115,21.62,6.78,3,1,0,15,0.7025,0,0.183,0.114,1.846,2.88,4.5,3.2,3,3,3,2,0,1,1,0,6,9,13,2,795,3470,5.46,314,184,11.3,528,1.12,1.1,4.5734,3.1,1.09,3.18,1.69
Pr,59,140.90765,20.79,6.78,3,1,0,17,0.7,0,0.182,0.113,1.828,2.92,4.48,3.1,3,3,3,2,0,0,3,0,6,10,11,2,935,3130,6.89,333,192,12.5,523,1.13,1.1,4.6395,3.1,1.09,3.19,1.73
Nd,60,144.24,20.58,7,3,1,0,19,0.6975,0,0.181,0.114,1.822,2.95,3.99,3.1,3,3,3,2,0,0,4,0,6,10,10,2,1020,3030,7.14,284,188,16.5,530,1.14,1.2,4.7152,3.1,1.09,3.19,1.73
Pm,61,144.9127,20.25,7.26,3,1,0,21,0.695,0,0.181,0.109,1.809,,3.99,3,3,3,3,2,0,0,5,0,6,10,9,2,1030,2730,7.7,0,184,17.9,535,1.13,1.15,4.8006,3.1,1.09,3.19,1.77
Sm,62,150.36,20.01,7.54,3,1,0,23,0.6925,0,0.18,0.108,1.802,2.9,4.14,2.8,3,3,3,2,0,0,6,0,6,10,8,2,1070,1900,8.62,192,197,13.3,543,1.17,1.2,4.8955,3.1,1.09,3.2,1.77
Eu,63,151.965,19.97,5.24,3,1,0,25,0.655,0,0.199,0.107,1.798,2.87,3.94,2,3,3,3,2,0,0,7,0,6,10,7,2,826,1440,9.21,176,138,13.9,547,1.2,1.15,5.0001,3.1,1.09,3.2,1.77
Gd,64,157.25,19.9,7.95,3,1,0,27,0.69,0,0.179,0.105,1.801,2.83,3.91,3,3,3,3,2,0,1,7,0,6,9,7,2,1310,3000,10,312,234,10.5,592,1.2,1.1,5.1142,3.1,1.09,3.2,1.77
Tb,65,158.92534,19.32,8.27,3,1,0,29,0.6875,0,0.176,0.118,1.783,2.79,3.89,3,3,3,3,2,0,0,9,0,6,10,5,2,1360,2800,10.15,391,184,11.1,564,1.2,1.2,5.238,3.1,1.09,3.21,1.82
Dy,66,162.5,19,8.55,3,1,0,31,0.685,0,0.175,0.103,1.775,2.87,3.67,3,3,3,3,2,0,0,10,0,6,10,4,2,1412,2567,11.06,293,173,10.7,572,1.22,1.15,5.3714,3.1,1.09,3.21,1.82
Ho,67,164.93032,18.76,8.8,3,1,0,33,0.6825,0,0.174,0,1.767,2.81,3.65,3,3,3,3,2,0,0,11,0,6,10,3,2,1460,2600,17,251,163,16.2,581,1.23,1.2,5.5143,3.1,1.09,3.22,1.82
Er,68,167.26,18.45,9.16,3,1,0,35,0.68,0,0.173,0.1,1.758,2.83,3.63,3,3,3,3,2,0,0,12,0,6,10,2,2,1500,2900,19.9,293,167,13.9,589,1.24,1.2,5.6669,3.1,1.09,3.22,1.86
Tm,69,168.93421,18.12,9.33,3,1,0,37,0.6775,0,0.173,0.109,1.747,2.79,3.6,3,3,3,3,2,0,0,13,0,6,10,1,2,1540,1730,16.84,247,159,16.9,596,1.25,1.2,5.8291,3.1,1.09,3.22,1.86
Yb,70,173.04,17.97,6.98,3,1,0,39,0.645,0,0.194,0.099,1.741,2.8,3.59,2,3,3,3,2,0,0,14,0,6,10,0,2,824,1430,7.66,159,146,38.5,603,1.1,1.1,6.0009,3.1,1.09,3.22,1.86
Lu,71,174.967,17.77,9.84,3,1,0,41,0.675,0,0.172,0.098,1.735,2.74,3.37,3,2,3,3,2,0,1,14,0,6,9,0,2,1650,3330,22,428,155,16.4,524,1.27,1.2,6.1824,3.1,1.09,3.22,1.91
Hf,72,178.49,13.45,13.3,4,1,0,45,0.775,0,0.156,0.083,1.58,2.63,2.91,4,2,4,2,2,0,2,14,0,6,8,0,2,2220,5400,27.2,661.1,146,23,680,1.3,1.73,6.3704,3.8,1.16,3.6,3.05
Ta,73,180.9479,10.81,16.6,5,1,0,48,0.83,0.32,0.143,0.064,1.467,2.53,2.79,5,2,5,3,2,0,3,14,0,6,7,0,2,3000,5420,36.57,753.1,138,57.5,761,1.5,1.94,6.5738,4.11,1.34,4.05,4.33
W,74,183.84,9.55,19.4,6,1,0,51,0.885,0.86,0.137,0.06,1.408,2.57,2.735,5.78,2,6,4,2,0,4,14,0,6,6,0,2,3410,5930,52.31,799.1,134,173,770,2.36,1.79,6.7841,4.4,1.47,4.8,5.93
Re,75,186.207,8.85,20.5,7,1,0,54,0.94,0.15,0.137,0.053,1.375,2.49,2.68,5.78,2,7,5,2,0,5,14,0,6,5,0,2,3180,5630,60.43,707.1,138,48,760,1.9,2.06,7.004,4.02,1.6,5.2,6.33
Os,76,190.23,8.45,22.5,8,1,0,57,0.995,1.1,0.134,0.063,1.353,2.48,2.65,5.78,2,8,5,2,0,6,14,0,6,4,0,2,3000,5000,57.85,627.6,130,87.6,840,2.2,1.85,7.2335,4.9,1.65,5.4,6.33
Ir,77,192.22,8.52,22.5,9,1,0,60,1.05,1.57,0.136,0.063,1.357,2.41,2.628,5.78,2,9,4,2,0,7,14,0,6,3,0,2,2440,5300,41.12,563.6,134,147,880,2.2,1.87,7.4345,5.4,1.68,5.55,6.13
Pt,78,195.08,9.1,21.4,10,1,0,63,1.105,2.13,0.139,0.063,1.387,2.29,2.7,5.78,2,10,3,1,0,9,14,1,6,1,0,1,1769,4530,22.17,510.5,134,71.6,870,2.28,1.91,7.7208,5.6,1.72,5.65,5.64
Au,79,196.96654,10.2,19.3,11,1,0,66,1.16,2.31,0.144,0.085,1.442,2.32,2.66,5.44,2,11,2,1,0,10,14,1,6,0,0,1,1063,2970,12.55,324,130,318,890,2.54,1.19,7.9791,5.77,1.92,5.15,3.87
Hg,80,200.59,14.08,13.6,12,1,0,71,1.32,0,0.15,0.102,1.594,2.45,2.41,4.44,2,12,1,2,0,10,14,0,6,0,0,2,-38.9,357,2.29,59.11,138,8.3,1007,2,1.49,8.2469,4.91,1.76,4.2,1.91
Tl,81,204.3833,17.23,11.8,13,1,0,76,1.56,0.2,0.17,0.159,1.716,2.47,2.235,3.44,1,3,3,2,1,10,14,0,5,0,0,3,304,1460,4.14,162.1,130,46.1,589,1.62,1.69,4.6618,3.2,1.789,3.9,1.4
Pb,82,207.2,18.28,11.3,14,1,0,81,1.8,0.36,0.175,0.119,1.75,2.6,2.09,2.44,1,4,4,2,2,10,14,0,4,0,0,4,327,1744,4.77,179.5,130,35.3,716,1.87,1.92,4.7404,3.9,1.854,4.1,1.52
Bi,83,208.98037,19.32,9.8,15,1,0,86,2.04,0.95,0.155,0.103,1.689,2.54,1.997,3,1,5,5,2,3,10,14,0,3,0,0,5,271,1560,11.3,151,121,7.97,703,2.02,2.14,4.8288,4.69,2.01,4.15,1.56
